Description: Magic Files - General Information
Version: 3.2 - Dec 11, 2000
Author: Christepher McKenney & Dave Gilbert
For comments, suggestions, bugs - email - mach_5@rocketmail.com
^
magia	mg	0			Hero:any,Rare:any		hide	modified by DeBelial, 30-06-2010
^
^
mgpdice	P Stat Defn		Priority	N/A	0	apnd:foot		Unless identified separately, the P stat is the number of Power Dice generated by the unit; To get the number of Dispel Dice - 0 Power Dice = 0 Dispel Dice; 1-2 Power Dice = 1 Dispel Dice; 3-4 = 2 Dispel Dice; Magic items, Bloodline powers, etc., may modify how to calculate dispel dice.	Unless identified separately, the P stat is the number of Power Dice generated by the unit; To get the number of Dispel Dice - 0 Power Dice = 0 Dispel Dice; 1-2 Power Dice = 1 Dispel Dice; 3-4 = 2 Dispel Dice; Magic items, Bloodline powers, etc., may modify how to calculate dispel dice. (This is printed at end of the roster)	
mg1lvl	Magic Level 1	Mg1	First	N/A	0	type:Hiero1	+1 to cast and dispel rolls.  Has 1 spell.			
mg2lvl	Magic Level 2	Mg3	First	N/A	0		+2 to cast and dispel rolls.  Has 2 spells.			
mg2lvl30	Magic Level 2	Mg2	First	Mgc	30	stat:Wz+1;over:mg1lvl=delete;type:2ndlvl;type:dksorc;type:Hiero2;over:vm3lvl75=delete	+2 to cast and dispel rolls.  Has 2 spells.		Magic Level Increased by 1	
mg2lvl35	Magic Level 2	Mg2	First	N/A	35	stat:Wz+1;over:mg1lvl=delete;type:2ndlvl;type:dksorc;type:Hiero2	+2 to cast and dispel rolls.  Has 2 spells.		Magic Level Increased by 1	
mg2lvl40	Magic Level 2	Mg2	First	N/A	40	stat:Wz+1;over:mg1lvl=deselect	+2 to cast and dispel rolls.  Has 2 spells.		Magic Level Increased by 1	
mg3lvl	Magic Level 3	Mg3	First	N/A	0		+3 to cast and dispel rolls.  Has 3 spells.			
mg4lvl	Magic Level 4	Mg4	First	N/A	0		+4 to cast and dispel rolls.  Has 4 spells.			
mg4lvl35	Magic Level 4	Mg4	First	N/A	35	stat:Wz+1;over:mg3lvl=deselect	+4 to cast and dispel rolls.  Has 4 spells.		Magic Level Increased by 1	
mg4lvl40	Magic Level 4	Mg4	First	N/A	40	stat:Wz+1;over:mg3lvl=deselect	+4 to cast and dispel rolls.  Has 4 spells.		Magic Level Increased by 1	
mg4lvl50	Magic Level 4	Mg4	First	N/A	50	stat:Wz+1;over:mg3lvl=deselect	+4 to cast and dispel rolls.  Has 4 spells.		Magic Level Increased by 1	
mg4lvl60	Magic Level 4	Mg4	First	N/A	60	stat:Wz+1;over:mg3lvl=deselect	+4 to cast and dispel rolls.  Has 4 spells.		Magic Level Increased by 1	
mg5lvl	Magic Level 5	Mg5	First	N/A	0		+5 to cast and dispel rolls.a Has 5 spells.			
mgpriest	Blessings	Prt	SpellType	Mgc	0	type:mgpriest;show:mgprshow;show:mgfull1;spec:+spel				
mgdesert	Lore of Desert	Dst	SpellType	Mgc	0	type:mgdesert;show:mgshow;show:mgfull				
